Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
21,60,3,101.0,14215,2,0.0,4,4,4,4,3,10,7,7,5,5,8,5,2005,2006,5,7,3,3,4.0,380.0,4,3,4,6.0,4.0,4.0,2.0,0,2.0,0,1158,1158,5,5,1,5.0,1218,0,2376,0,0,3,1,4,1,4,8,1,5.0,4.0,2005.0,3.0,3,853,3,240,154,0,0,0,0,0.0,0.0,0.0,0,11,2006,7,1,325300
22,45,1,57.0,7449,2,3.0,5,3,4,5,3,16,7,7,5,6,7,7,1930,1950,5,7,2,2,2.0,0.0,3,3,4,4.0,4.0,2.0,2.0,0,2.0,0,637,637,5,5,1,3.0,0,0,1108,0,0,1,0,3,1,4,8,1,5.0,6.0,1930.0,2.0,1,280,1,0,0,205,0,0,0,0.0,5.0,0.0,0,6,2007,10,6,139400
23,20,3,75.0,9742,2,0.0,5,4,4,5,3,20,7,7,5,8,8,5,2002,2002,3,7,3,3,4.0,281.0,4,3,4,5.0,4.0,2.0,2.0,0,2.0,0,1777,1777,5,5,1,5.0,0,0,1795,0,0,2,0,3,1,4,8,1,5.0,6.0,2002.0,3.0,2,534,3,171,159,0,0,0,0,0.0,0.0,0.0,0,9,2008,10,6,230000
24,120,1,44.0,4224,2,0.0,5,4,4,5,3,15,7,7,2,8,5,7,1976,1976,5,7,12,12,2.0,0.0,3,3,4,5.0,4.0,2.0,7.0,840,2.0,0,200,1040,5,3,1,5.0,0,0,1060,1,0,1,0,3,1,3,8,1,4.0,6.0,1976.0,2.0,2,572,3,100,110,0,0,0,0,0.0,0.0,0.0,0,6,2007,10,6,129900
25,20,3,0.0,8246,2,0.0,4,4,4,5,3,6,7,7,5,8,5,8,1968,2001,5,7,7,7,2.0,0.0,3,4,5,4.0,4.0,3.0,4.0,188,6.0,668,204,1060,5,5,1,5.0,0,0,1060,1,0,1,0,3,1,4,8,1,4.0,6.0,1968.0,2.0,1,270,3,406,90,0,0,0,0,0.0,4.0,0.0,0,5,2010,10,6,154000
26,20,3,110.0,14230,2,0.0,5,4,4,4,3,10,7,7,5,8,8,5,2007,2007,5,7,3,3,1.0,640.0,4,3,4,5.0,4.0,2.0,2.0,0,2.0,0,1566,1566,5,5,1,5.0,0,0,1600,0,0,2,0,3,1,4,8,1,5.0,6.0,2007.0,3.0,3,890,3,0,56,0,0,0,0,0.0,0.0,0.0,0,7,2009,10,6,256300
27,20,3,60.0,7200,2,0.0,5,4,4,4,3,13,7,7,5,8,5,7,1951,2000,5,7,2,2,2.0,0.0,3,3,5,4.0,4.0,3.0,5.0,234,4.0,486,180,900,5,3,1,5.0,0,0,900,0,1,1,0,3,1,4,8,0,0.0,2.0,2005.0,2.0,2,576,3,222,32,0,0,0,0,0.0,0.0,0.0,0,5,2010,10,6,134800
28,20,3,98.0,11478,2,0.0,5,4,4,5,3,10,7,7,5,8,8,5,2007,2008,5,7,3,3,1.0,200.0,4,3,4,6.0,4.0,2.0,7.0,1218,2.0,0,486,1704,5,5,1,5.0,0,0,1704,1,0,2,0,3,1,4,8,1,5.0,6.0,2008.0,3.0,3,772,3,0,50,0,0,0,0,0.0,0.0,0.0,0,5,2010,10,6,306000
29,20,3,47.0,16321,2,0.0,4,4,4,3,3,13,7,7,5,8,5,6,1957,1997,5,7,9,9,2.0,0.0,3,3,5,4.0,4.0,5.0,5.0,1277,2.0,0,207,1484,5,3,1,5.0,0,0,1600,1,0,1,0,2,1,3,8,2,5.0,6.0,1957.0,3.0,1,319,3,288,258,0,0,0,0,0.0,0.0,0.0,0,12,2006,10,6,207500
30,30,1,60.0,6324,2,0.0,4,4,4,5,3,22,8,6,5,8,4,6,1927,1950,5,7,9,9,2.0,0.0,3,3,6,4.0,4.0,2.0,2.0,0,2.0,0,520,520,5,2,2,5.0,0,0,520,0,0,1,0,1,1,2,8,0,0.0,2.0,1920.0,2.0,1,240,3,49,0,87,0,0,0,0.0,0.0,0.0,0,5,2008,10,6,68500
31,70,0,50.0,8500,2,2.0,5,4,4,5,3,16,8,7,5,5,4,4,1920,1950,4,7,14,14,2.0,0.0,3,2,6,4.0,4.0,2.0,2.0,0,2.0,0,649,649,5,3,2,5.0,668,0,1317,0,0,1,0,3,1,3,8,0,0.0,2.0,1920.0,2.0,1,250,1,0,54,172,0,0,0,0.0,4.0,0.0,0,7,2008,10,6,40000
32,20,3,0.0,8544,2,0.0,4,4,4,3,3,6,7,7,5,8,5,6,1966,2006,5,7,11,11,2.0,0.0,3,3,5,4.0,4.0,2.0,2.0,0,2.0,0,1228,1228,5,4,1,5.0,0,0,1228,0,0,1,1,3,1,4,8,0,0.0,6.0,1966.0,2.0,1,271,3,0,65,0,0,0,0,0.0,4.0,0.0,0,6,2008,10,6,149350
33,20,3,85.0,11049,2,0.0,5,4,4,4,3,20,7,7,5,8,8,5,2007,2007,5,7,3,3,2.0,0.0,4,3,4,6.0,4.0,4.0,2.0,0,2.0,0,1234,1234,5,5,1,5.0,0,0,1234,0,0,2,0,3,1,4,8,0,0.0,6.0,2007.0,3.0,2,484,3,0,30,0,0,0,0,0.0,0.0,0.0,0,1,2008,10,6,179900
34,20,3,70.0,10552,2,0.0,4,4,4,5,3,13,7,7,5,8,5,5,1959,1959,3,7,14,14,2.0,0.0,3,3,5,4.0,4.0,2.0,4.0,1018,2.0,0,380,1398,5,4,1,5.0,0,0,1700,0,1,1,1,4,1,4,8,1,5.0,6.0,1959.0,3.0,2,447,3,0,38,0,0,0,0,0.0,0.0,0.0,0,4,2010,10,6,165500
35,120,3,60.0,7313,2,0.0,5,4,4,5,3,10,7,7,2,8,9,5,2005,2005,3,7,9,9,4.0,246.0,5,3,4,6.0,4.0,2.0,7.0,1153,2.0,0,408,1561,5,5,1,5.0,0,0,1561,1,0,2,0,2,1,5,8,1,5.0,6.0,2005.0,4.0,2,556,3,203,47,0,0,0,0,0.0,0.0,0.0,0,8,2007,10,6,277500
36,60,3,108.0,13418,2,0.0,5,4,4,5,3,10,7,7,5,5,8,5,2004,2005,5,7,3,3,1.0,132.0,4,3,4,6.0,4.0,4.0,2.0,0,2.0,0,1117,1117,5,5,1,5.0,1320,0,2452,0,0,3,1,4,1,4,8,1,5.0,4.0,2004.0,4.0,3,691,3,113,32,0,0,0,0,0.0,0.0,0.0,0,9,2006,10,6,309000
37,20,3,112.0,10859,2,0.0,5,4,4,4,3,20,7,7,5,8,5,5,1994,1995,5,7,3,3,2.0,0.0,3,3,4,5.0,4.0,2.0,2.0,0,2.0,0,1097,1097,5,5,1,5.0,0,0,1097,0,0,1,1,3,1,3,8,0,0.0,6.0,1995.0,2.0,2,672,3,392,64,0,0,0,0,0.0,0.0,0.0,0,6,2009,10,6,145000
38,20,3,74.0,8532,2,0.0,5,4,4,5,3,13,7,7,5,8,5,6,1954,1990,3,7,2,2,4.0,650.0,3,3,5,4.0,4.0,2.0,4.0,1213,2.0,0,84,1297,5,4,1,5.0,0,0,1297,0,1,1,0,3,1,3,8,1,4.0,6.0,1954.0,4.0,2,498,3,0,0,0,0,0,0,0.0,0.0,0.0,0,10,2009,10,6,153000
39,20,3,68.0,7922,2,0.0,5,4,4,5,3,13,7,7,5,8,5,7,1953,2007,5,7,3,3,2.0,0.0,3,4,5,4.0,4.0,2.0,7.0,731,2.0,0,326,1057,5,3,1,5.0,0,0,1057,1,0,1,0,3,1,4,8,0,0.0,2.0,1953.0,2.0,1,246,3,0,52,0,0,0,0,0.0,0.0,0.0,0,1,2010,10,5,109000
40,90,3,65.0,6040,2,0.0,5,4,4,5,3,18,7,7,3,8,4,5,1955,1955,5,7,17,7,2.0,0.0,3,3,4,0.0,0.0,0.0,0.0,0,0.0,0,0,0,5,3,2,2.0,0,0,1152,0,0,2,0,2,2,2,8,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,6,2008,10,4,82000
41,20,3,84.0,8658,2,0.0,5,4,4,5,3,13,7,7,5,8,6,5,1965,1965,5,7,2,2,4.0,101.0,3,3,5,4.0,4.0,2.0,4.0,643,2.0,0,445,1088,5,5,1,5.0,0,0,1324,0,0,2,0,3,1,3,8,1,4.0,6.0,1965.0,3.0,2,440,3,0,138,0,0,0,0,0.0,3.0,0.0,0,12,2006,10,5,160000
42,20,3,115.0,16905,2,0.0,5,4,4,5,3,2,7,7,5,8,5,6,1959,1959,5,7,3,3,2.0,0.0,3,4,5,4.0,4.0,5.0,5.0,967,2.0,0,383,1350,5,4,1,5.0,0,0,1328,0,1,1,1,2,1,3,8,2,5.0,6.0,1959.0,3.0,1,308,2,0,104,0,0,0,0,0.0,0.0,0.0,0,7,2007,10,6,170000
43,85,3,0.0,9180,2,0.0,4,4,4,3,3,5,7,7,5,2,5,7,1983,1983,5,7,11,11,2.0,0.0,3,3,5,5.0,4.0,4.0,6.0,747,3.0,93,0,840,5,4,1,5.0,0,0,884,1,0,1,0,2,1,4,8,0,0.0,6.0,1983.0,3.0,2,504,3,240,0,0,0,0,0,0.0,4.0,0.0,0,12,2007,10,6,144000
44,20,3,0.0,9200,2,0.0,4,4,4,3,3,20,7,7,5,8,5,6,1975,1980,3,7,3,3,2.0,0.0,3,3,5,5.0,4.0,4.0,3.0,280,5.0,491,167,938,5,3,1,5.0,0,0,938,1,0,1,0,3,1,3,8,0,0.0,2.0,1977.0,2.0,1,308,3,145,0,0,0,0,0,0.0,4.0,0.0,0,7,2008,10,6,130250
45,20,3,70.0,7945,2,0.0,5,4,4,5,3,13,7,7,5,8,5,6,1959,1959,5,7,14,2,2.0,0.0,3,3,5,4.0,4.0,2.0,6.0,179,5.0,506,465,1150,5,5,1,4.0,0,0,1150,1,0,1,0,3,1,3,8,0,0.0,6.0,1959.0,3.0,1,300,3,0,0,0,0,0,0,0.0,0.0,0.0,0,5,2006,10,6,141000
46,120,3,61.0,7658,2,0.0,5,4,4,5,3,10,7,7,2,8,9,5,2005,2005,3,7,9,9,4.0,412.0,5,3,4,6.0,4.0,2.0,7.0,456,2.0,0,1296,1752,5,5,1,5.0,0,0,1752,1,0,2,0,2,1,5,8,1,5.0,6.0,2005.0,3.0,2,576,3,196,82,0,0,0,0,0.0,0.0,0.0,0,2,2010,10,6,319900
47,50,3,48.0,12822,2,0.0,4,4,4,3,3,14,7,7,5,7,7,5,2003,2003,5,7,3,3,2.0,0.0,4,3,4,6.0,4.0,2.0,7.0,1351,2.0,0,83,1434,5,5,1,5.0,631,0,2149,1,0,1,1,1,1,4,8,1,6.0,6.0,2003.0,3.0,2,670,3,168,43,0,0,198,0,0.0,0.0,0.0,0,8,2009,10,5,239686
48,20,6,84.0,11096,2,0.0,5,4,4,5,3,4,7,7,5,8,8,5,2006,2006,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,4.0,7.0,24,2.0,0,1632,1656,5,5,1,5.0,0,0,1656,0,0,2,0,3,1,4,8,0,0.0,6.0,2006.0,3.0,3,826,3,0,146,0,0,0,0,0.0,0.0,0.0,0,7,2007,10,6,249700
49,190,1,33.0,4456,2,0.0,5,4,4,5,3,8,7,7,4,5,4,5,1920,2008,5,7,9,9,2.0,0.0,3,3,6,4.0,4.0,2.0,2.0,0,2.0,0,736,736,5,4,1,5.0,716,0,1452,0,0,2,0,2,3,3,8,0,0.0,0.0,0.0,0.0,0,0,1,0,0,102,0,0,0,0.0,0.0,0.0,0,6,2009,7,1,113000
50,20,3,66.0,7742,2,0.0,5,4,4,5,3,6,7,7,5,8,5,7,1966,1966,5,7,11,11,2.0,0.0,3,3,5,4.0,4.0,2.0,5.0,763,2.0,0,192,955,5,5,1,5.0,0,0,955,1,0,1,0,3,1,3,8,0,0.0,6.0,1966.0,2.0,1,386,3,0,0,0,0,0,0,0.0,4.0,0.0,0,1,2007,10,6,127000
51,60,3,0.0,13869,2,0.0,3,4,4,4,3,17,7,7,5,5,6,6,1997,1997,5,7,3,3,2.0,0.0,3,3,4,5.0,4.0,4.0,7.0,182,2.0,0,612,794,5,4,1,5.0,676,0,1470,0,1,2,0,3,1,3,8,0,0.0,6.0,1997.0,4.0,2,388,3,0,75,0,0,0,0,0.0,0.0,0.0,0,7,2007,10,6,177000
52,50,1,52.0,6240,2,0.0,5,4,4,5,3,22,7,7,5,7,6,6,1934,1950,5,7,2,2,2.0,0.0,3,3,4,4.0,4.0,2.0,2.0,0,2.0,0,816,816,5,3,1,5.0,0,360,1176,0,0,1,0,3,1,3,8,1,5.0,2.0,1985.0,2.0,2,528,3,112,0,0,0,0,0,0.0,4.0,3.0,400,9,2006,10,6,114500
53,90,1,110.0,8472,3,0.0,3,3,4,4,2,16,6,7,3,8,5,5,1963,1963,5,7,2,2,2.0,0.0,2,3,5,5.0,4.0,5.0,3.0,104,7.0,712,0,816,5,3,2,5.0,0,0,816,1,0,1,0,2,1,3,8,0,0.0,3.0,1963.0,2.0,2,516,3,106,0,0,0,0,0,0.0,0.0,0.0,0,5,2010,10,6,110000
54,20,3,68.0,50271,2,0.0,4,1,4,5,3,1,7,7,5,8,9,5,1981,1987,5,1,1,1,2.0,0.0,4,3,5,6.0,4.0,5.0,7.0,1810,2.0,0,32,1842,5,4,1,5.0,0,0,1842,2,0,0,1,0,1,4,8,1,5.0,6.0,1981.0,4.0,3,894,3,857,72,0,0,0,0,0.0,0.0,0.0,0,11,2006,10,6,385000
55,80,3,60.0,7134,2,0.0,5,3,4,5,2,13,7,7,5,1,5,5,1955,1955,5,7,9,9,2.0,0.0,3,3,5,4.0,4.0,2.0,6.0,384,2.0,0,0,384,5,3,1,5.0,0,0,1360,0,0,1,0,3,1,3,7,1,4.0,2.0,1962.0,2.0,2,572,3,0,50,0,0,0,0,0.0,4.0,0.0,0,2,2007,10,6,130000
56,20,3,100.0,10175,2,0.0,4,4,4,5,3,13,7,7,5,8,6,5,1964,1964,5,7,11,7,4.0,272.0,3,3,5,4.0,4.0,2.0,5.0,490,2.0,0,935,1425,5,4,1,5.0,0,0,1425,0,0,2,0,3,1,3,8,1,5.0,6.0,1964.0,3.0,2,576,3,0,0,0,407,0,0,0.0,0.0,0.0,0,7,2008,10,6,180500
57,160,6,24.0,2645,2,2.0,5,4,4,5,3,4,7,7,1,5,8,5,1999,2000,5,7,9,9,4.0,456.0,4,3,4,5.0,4.0,2.0,7.0,649,2.0,0,321,970,5,5,1,5.0,756,0,1739,1,0,2,1,3,1,4,8,0,0.0,6.0,1999.0,4.0,2,480,3,115,0,0,0,0,0,0.0,0.0,0.0,0,8,2009,10,5,172500
58,60,3,89.0,11645,2,0.0,4,4,4,4,3,20,7,7,5,5,7,5,2004,2004,5,7,3,3,2.0,0.0,4,3,4,5.0,4.0,2.0,2.0,0,2.0,0,860,860,5,5,1,5.0,860,0,1720,0,0,2,1,3,1,4,8,0,0.0,6.0,2004.0,3.0,2,565,3,0,70,0,0,0,0,0.0,0.0,0.0,0,8,2006,10,6,196500
59,60,3,66.0,13682,2,0.0,3,2,4,3,3,3,7,7,5,5,10,5,2006,2006,3,7,3,3,4.0,1031.0,5,3,4,6.0,4.0,5.0,2.0,0,2.0,0,1410,1410,5,5,1,5.0,1519,0,2945,0,0,3,1,3,1,4,8,1,5.0,4.0,2006.0,4.0,3,641,3,192,0,37,0,0,0,0.0,0.0,0.0,0,10,2006,7,1,438780
60,20,3,60.0,7200,2,0.0,5,3,4,5,3,20,7,7,5,8,5,7,1972,1972,5,7,11,11,2.0,0.0,3,3,5,4.0,4.0,4.0,6.0,632,2.0,0,148,780,5,5,1,5.0,0,0,780,0,0,1,0,2,1,3,8,0,0.0,2.0,1973.0,2.0,1,352,3,196,0,0,0,0,0,0.0,4.0,0.0,0,1,2008,10,6,124900
61,20,3,63.0,13072,2,0.0,5,4,4,5,3,5,1,7,5,8,6,5,2004,2004,5,7,3,3,2.0,0.0,3,3,4,5.0,4.0,2.0,6.0,941,2.0,0,217,1158,5,5,1,5.0,0,0,1158,1,0,1,1,3,1,4,8,0,0.0,2.0,2006.0,2.0,2,576,3,0,50,0,0,0,0,0.0,0.0,0.0,0,5,2006,7,1,158000
62,75,1,60.0,7200,2,0.0,5,4,4,5,3,16,7,7,5,3,5,7,1920,1996,5,7,9,9,2.0,0.0,3,3,6,4.0,3.0,2.0,2.0,0,2.0,0,530,530,5,3,2,5.0,530,0,1111,0,0,1,0,3,1,2,8,0,0.0,2.0,1935.0,2.0,1,288,1,0,0,144,0,0,0,0.0,0.0,0.0,0,3,2007,10,6,101000
63,120,3,44.0,6442,2,0.0,4,4,4,5,3,10,7,7,2,8,8,5,2006,2006,5,7,3,3,1.0,178.0,4,3,4,5.0,5.0,3.0,7.0,24,2.0,0,1346,1370,5,5,1,5.0,0,0,1370,0,0,2,0,2,1,4,8,1,5.0,6.0,2006.0,3.0,2,484,3,120,49,0,0,0,0,0.0,0.0,0.0,0,10,2007,10,6,202500
64,70,1,50.0,10300,2,0.0,4,3,4,5,3,8,5,8,5,5,7,6,1921,1950,5,7,4,4,2.0,0.0,3,3,6,4.0,4.0,2.0,2.0,0,2.0,0,576,576,5,4,1,5.0,808,0,1710,0,0,2,0,3,1,3,8,0,0.0,2.0,1990.0,2.0,2,480,3,12,11,64,0,0,0,0.0,5.0,0.0,0,4,2010,10,6,140000
65,60,3,0.0,9375,2,0.0,5,4,4,5,3,20,7,7,5,5,7,5,1997,1998,5,7,3,3,4.0,573.0,3,3,4,5.0,4.0,2.0,7.0,739,2.0,0,318,1057,5,5,1,5.0,977,0,2034,1,0,2,1,3,1,4,8,0,0.0,6.0,1998.0,3.0,2,645,3,576,36,0,0,0,0,0.0,5.0,0.0,0,2,2009,10,6,219500
66,60,3,76.0,9591,2,0.0,5,4,4,5,3,10,7,7,5,5,8,5,2004,2005,5,7,3,3,4.0,344.0,4,3,4,6.0,4.0,4.0,2.0,0,2.0,0,1143,1143,5,5,1,5.0,1330,0,2473,0,0,2,1,4,1,4,8,1,5.0,4.0,2004.0,3.0,3,852,3,192,151,0,0,0,0,0.0,0.0,0.0,0,10,2007,10,6,317000
